Rock Wit'cha,Bobby Brown,Dance!...Ya Know It!,1989
Get On Your Feet,Gloria Estefan,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Sometimes She Cries,Warrant,Dirty Rotten Filthy Stinking Rich ,1988
Lullaby,The Cure,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Hide Your Heart,Kiss,Hot In The Shade,1989
Too Hot,Loverboy,Big Ones,1989
No Myth,Michael Penn,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Black Velvet,Alannah Myles,Alannah Myles,1989
Gimme Your Good Lovin,Diving For Pearls,Diving For Pearls,1989
French Kiss,Lil Louis,French Kiss,1989
Right And Hype,Abstrac,Abstrac',1989
I Don't Know,Michael Morales,Michael Morales,1989
Girl I Am Searching For You,Stevie B,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Miss You Much,Janet Jackson,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
I Didn't Mean To Stay All Night,Starship,Love Among the Cannibals,1989
Foolish Heart,Sharon Bryant,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Talk To Myself,Christopher Williams,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Heat Of The Moment,After 7,After 7,1989
Cover Girl,New Kids On The Block,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
500 Miles,Hooters,ALBUM HAS WRONG DATE,ALBUM HAS WRONG DATE
Back To The Bullet,Saraya,Saraya,1989
Owwww!,Chunky A,Large and in Charge,1989
